path,coverage,read_ranges,source_reference,source_commit,note,url
clients/dotnet/Agent.Client/Agent.Client.csproj,FULL_TEXT,1–EOF,turn340file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/clients/dotnet/Agent.Client/Agent.Client.csproj
clients/dotnet/Agent.Client/AgentConnection.cs,FULL_TEXT,1–EOF,turn345file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/clients/dotnet/Agent.Client/AgentConnection.cs
clients/dotnet/Agent.Client/DeltaCoalescer.cs,FULL_TEXT,1–EOF,turn319file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/clients/dotnet/Agent.Client/DeltaCoalescer.cs
clients/dotnet/Agent.Client/Envelope.cs,FULL_TEXT,1–EOF,turn288file0;turn306file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/clients/dotnet/Agent.Client/Envelope.cs
clients/dotnet/Agent.Client/Framing.cs,FULL_TEXT,1–EOF,turn289file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/clients/dotnet/Agent.Client/Framing.cs
clients/dotnet/Agent.Client/IAgentConnection.cs,FULL_TEXT,1–EOF,turn321file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/clients/dotnet/Agent.Client/IAgentConnection.cs
clients/dotnet/Agent.Client/JsonOptions.cs,FULL_TEXT,1–EOF,turn304file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/clients/dotnet/Agent.Client/JsonOptions.cs
clients/dotnet/Agent.Client/MetricsSession.cs,FULL_TEXT,1–EOF,turn320file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/clients/dotnet/Agent.Client/MetricsSession.cs
clients/dotnet/Agent.Client/ProtocolDto.cs,FULL_TEXT,1–EOF,turn305file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/clients/dotnet/Agent.Client/ProtocolDto.cs
clients/dotnet/Agent.Client/ResumableSession.cs,FULL_TEXT,1–EOF,turn346file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/clients/dotnet/Agent.Client/ResumableSession.cs
clients/dotnet/Agent.Client/Transports.cs,FULL_TEXT,1–EOF,turn307file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/clients/dotnet/Agent.Client/Transports.cs
clients/dotnet/Agent.Client/WorkDto.cs,FULL_TEXT,1–EOF,turn301file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/clients/dotnet/Agent.Client/WorkDto.cs
clients/dotnet/Agent.Client.Tests/Agent.Client.Tests.csproj,FULL_TEXT,1–EOF,turn341file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/clients/dotnet/Agent.Client.Tests/Agent.Client.Tests.csproj
clients/dotnet/Agent.Client.Tests/ContractFixtures.cs,FULL_TEXT,1–EOF,turn342file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/clients/dotnet/Agent.Client.Tests/ContractFixtures.cs
clients/dotnet/Agent.Client.Tests/FixtureConformanceTests.cs,FULL_TEXT,1–EOF,turn347file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/clients/dotnet/Agent.Client.Tests/FixtureConformanceTests.cs
clients/dotnet/Agent.Client.Tests/FramingAndConnectionTests.cs,FULL_TEXT,1–EOF,turn315file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/clients/dotnet/Agent.Client.Tests/FramingAndConnectionTests.cs
clients/dotnet/Agent.Client.Tests/ResilienceTests.cs,FULL_TEXT,1–EOF,turn316file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/clients/dotnet/Agent.Client.Tests/ResilienceTests.cs
clients/dotnet/InteropSmoke/Program.cs,FULL_TEXT,1–EOF,turn324file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/clients/dotnet/InteropSmoke/Program.cs
clients/dotnet/InteropSmoke/InteropSmoke.csproj,FULL_TEXT,1–EOF,turn348file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/clients/dotnet/InteropSmoke/InteropSmoke.csproj
crates/agent-host/Cargo.toml,FULL_TEXT,1–EOF,turn291file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/crates/agent-host/Cargo.toml
crates/agent-host/src/main.rs,FULL_TEXT,1–EOF,turn275file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/crates/agent-host/src/main.rs
crates/agent-host/src/lib.rs,FULL_TEXT,1–EOF,turn276file0;turn277file0;turn333file0;turn334file0;turn335file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/crates/agent-host/src/lib.rs
crates/agent-host/src/winpipe.rs,FULL_TEXT,1–EOF,turn290file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/crates/agent-host/src/winpipe.rs
crates/agent-host/tests/host_e2e.rs,FULL_TEXT,1–EOF,turn295file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/crates/agent-host/tests/host_e2e.rs
Cargo.toml,FULL_TEXT,1–EOF,turn292file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/Cargo.toml
.github/workflows/ci.yml,FULL_TEXT,1–EOF,turn308file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/.github/workflows/ci.yml
crates/agent-runtime/src/platform/work.rs,FULL_TEXT,1–390;390–EOF,turn283file0;turn284file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/crates/agent-runtime/src/platform/work.rs
crates/agent-runtime/src/actor/turn.rs,PARTIAL,1–325,turn297file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/crates/agent-runtime/src/actor/turn.rs
crates/agent-runtime/src/lib.rs,FULL_TEXT,1–EOF,turn298file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/crates/agent-runtime/src/lib.rs
crates/agent-runtime/src/checkpoint.rs,PARTIAL,1–300,turn300file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/crates/agent-runtime/src/checkpoint.rs
crates/tool-runtime/src/supervision.rs,PARTIAL,1–610,turn293file0;turn294file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/crates/tool-runtime/src/supervision.rs
crates/agent-storage/src/lib.rs,PARTIAL,290–385;650–770,turn303file0;turn353file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/crates/agent-storage/src/lib.rs
docs/CURRENT.md,FULL_TEXT,1–EOF,turn310file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/docs/CURRENT.md
crates/context-simple/src/gc/reachability.rs,PARTIAL_TRUNCATED,full-file request; response truncated after production functions,turn312file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,The end of the file was not returned. Do not count as a full-file review.,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/crates/context-simple/src/gc/reachability.rs
crates/context-simple/src/engine.rs,PARTIAL,1–230;810–1065;1690–2040,turn314file0;turn326file0;turn328file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/crates/context-simple/src/engine.rs
crates/agent-platform-protocol/src/work.rs,PARTIAL,1–715,turn317file0;turn318file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/crates/agent-platform-protocol/src/work.rs
crates/context-simple/src/lib.rs,FULL_TEXT,1–EOF,turn325file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/crates/context-simple/src/lib.rs
crates/context-simple/src/index/entity.rs,PARTIAL,1–240,turn327file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/crates/context-simple/src/index/entity.rs
crates/context-simple/src/heap.rs,RANGE_RETURNED,1–210 requested; closing module returned,turn329file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,Conservatively kept separate from FULL_TEXT accounting.,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/crates/context-simple/src/heap.rs
crates/context-simple/src/residency.rs,RANGE_RETURNED,1–225 requested; closing function returned,turn330file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,Conservatively kept separate from FULL_TEXT accounting.,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/crates/context-simple/src/residency.rs
crates/context-simple/src/gc/minor.rs,RANGE_RETURNED,1–370 requested; closing function returned,turn331file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,Conservatively kept separate from FULL_TEXT accounting.,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/crates/context-simple/src/gc/minor.rs
docs/ARCHITECTURE.md,PARTIAL,1–88,turn343file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/docs/ARCHITECTURE.md
docs/NEXT_TASKS.md,PARTIAL_TRUNCATED,1–215 requested; response truncated,turn344file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/docs/NEXT_TASKS.md
crates/agent-runtime/src/plugin.rs,PARTIAL,45–235;350–505,turn350file0;turn351file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/crates/agent-runtime/src/plugin.rs
crates/agent-compose/src/lib.rs,PARTIAL,470–745,turn352file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/crates/agent-compose/src/lib.rs
